algorithm,structure,dataset,size,time
bubble,linked,almost,30,0.00014979997649788857
selection,array,almost,30,5.9999991208314896e-05
selection,linked,almost,30,4.290003562346101e-05
insertion,array,almost,30,1.1299969628453255e-05
insertion,linked,almost,30,9.700015652924776e-06
shell,array,almost,30,2.2799998987466097e-05
shell,linked,almost,30,2.1099986042827368e-05
merge,array,almost,30,7.16999638825655e-05
merge,linked,almost,30,5.959998816251755e-05
quick,array,almost,30,3.9700011257082224e-05
quick,linked,almost,30,3.649998689070344e-05
heap,array,almost,30,1.5499943401664495e-05
heap,linked,almost,30,1.0100018698722124e-05
counting,array,almost,30,1.9700033590197563e-05
counting,linked,almost,30,1.5400000847876072e-05
radix,array,almost,30,4.010001430287957e-05
radix,linked,almost,30,3.8700003642588854e-05
bubble,array,half,30,6.399996345862746e-05
bubble,linked,half,30,6.150000263005495e-05
selection,array,half,30,4.869996337220073e-05
selection,linked,half,30,4.680000711232424e-05
insertion,array,half,30,1.71000137925148e-05
insertion,linked,half,30,1.6200006939470768e-05
shell,array,half,30,2.5999965146183968e-05
shell,linked,half,30,2.370000584051013e-05
merge,array,half,30,7.280003046616912e-05
merge,linked,half,30,6.54000323265791e-05
quick,array,half,30,5.460000829771161e-05
quick,linked,half,30,4.9200025387108326e-05
heap,array,half,30,2.0700041204690933e-05
heap,linked,half,30,1.290004001930356e-05
radix,array,half,30,0.0001145999995060265
radix,linked,half,30,0.00013530004071071744
bubble,array,flat,30,0.000248999975156039
bubble,linked,flat,30,7.860001642256975e-05
selection,array,flat,30,5.470000905916095e-05
selection,linked,flat,30,0.00025939999613910913
insertion,array,flat,30,4.420004552230239e-05
insertion,linked,flat,30,4.190002800896764e-05
shell,array,flat,30,3.559998003765941e-05
shell,linked,flat,30,2.9799994081258774e-05
merge,array,flat,30,8.630001684650779e-05
merge,linked,flat,30,0.0001333000254817307
quick,array,flat,30,3.809999907389283e-05
quick,linked,flat,30,2.8099981136620045e-05
heap,array,flat,30,3.1699950341135263e-05
heap,linked,flat,30,1.3200042303651571e-05
counting,array,flat,30,1.6400008462369442e-05
counting,linked,flat,30,1.0100018698722124e-05
radix,array,flat,30,5.259999306872487e-05
radix,linked,flat,30,3.880000440403819e-05
selection,array,random,50,0.0001466000103391707
selection,linked,random,50,0.00011409999569877982
bubble,array,random,50,0.00019099999917671084
bubble,linked,random,50,0.0002251000260002911
insertion,array,random,50,0.00013070000568404794
insertion,linked,random,50,0.00011570000788196921
shell,array,random,50,7.810001261532307e-05
shell,linked,random,50,6.849999772384763e-05
merge,array,random,50,0.00013040000339969993
merge,linked,random,50,0.00011599995195865631
heap,array,random,50,2.4800014216452837e-05
heap,linked,random,50,1.8899969290941954e-05
quick,array,random,50,0.00010549998842179775
quick,linked,random,50,9.509996743872762e-05
radix,array,random,50,0.0002120000426657498
radix,linked,random,50,0.0001427999814040959
bubble,array,sorted,50,0.00041149999015033245
bubble,linked,sorted,50,0.00012909999350085855
selection,array,sorted,50,0.00015520001761615276
selection,linked,sorted,50,0.00011229998199269176
insertion,array,sorted,50,1.4299992471933365e-05
insertion,linked,sorted,50,1.1599971912801266e-05
shell,array,sorted,50,4.3000036384910345e-05
shell,linked,sorted,50,3.840000135824084e-05
merge,array,sorted,50,0.00012620002962648869
merge,linked,sorted,50,9.99000039882958e-05
