algorithm,structure,dataset,size,time
selection,array,random,10000,5.199339999991935
selection,linked,random,10000,5.02758559997892
selection,array,half,10000,4.922965300036594
selection,linked,half,10000,5.081457099993713
counting,array,sorted,100000,0.05190980003681034
counting,linked,sorted,100000,0.05136300000594929
heap,array,sorted,100000,0.06932790001155809
heap,linked,sorted,100000,0.06679509999230504
selection,array,reverse,10000,5.164140500011854
selection,linked,reverse,10000,5.092763900000136
radix,array,random,100000,0.5036207999801263
radix,linked,random,100000,0.44938309997087345
shell,array,sorted,100000,0.31846679997397587
shell,linked,sorted,100000,0.3247119999723509
counting,array,reverse,100000,0.051322099985554814
counting,linked,reverse,100000,0.051619999983813614
heap,array,reverse,100000,0.06290130002889782
heap,linked,reverse,100000,0.06248330004746094
merge,array,sorted,100000,0.39097000000765547
merge,linked,sorted,100000,0.38817869999911636
quick,array,sorted,100000,0.3726586999837309
quick,linked,sorted,100000,0.369520099950023
radix,array,sorted,100000,0.31893479998689145
radix,linked,sorted,100000,0.366742400045041
quick,array,reverse,100000,0.3636055000242777
quick,linked,reverse,100000,0.35582230001455173
heap,array,almost,100000,0.08060769998701289
heap,linked,almost,100000,0.1001047000172548
merge,array,reverse,100000,0.40855290001491085
merge,linked,reverse,100000,0.4180159000097774
counting,array,almost,100000,0.0804020999930799
counting,linked,almost,100000,0.0690768999629654
radix,array,reverse,100000,0.3759967999649234
radix,linked,reverse,100000,0.44306020002113655
quick,array,almost,100000,0.36956990003818646
quick,linked,almost,100000,0.362717000010889
shell,array,reverse,100000,0.5413936999975704
shell,linked,reverse,100000,0.6479071999783628
counting,array,half,100000,0.053123799967579544
counting,linked,half,100000,0.06258959998376667
heap,array,half,100000,0.11133250000420958
heap,linked,half,100000,0.1614248999976553
radix,array,almost,100000,0.3451397999888286
radix,linked,almost,100000,0.3899330999702215
merge,array,almost,100000,0.5624472000054084
merge,linked,almost,100000,0.7581593999639153
quick,array,flat,100000,0.05632370000239462
quick,linked,flat,100000,0.06767369998851791
heap,array,flat,100000,0.06805010000243783
heap,linked,flat,100000,0.09021799999754876
merge,array,half,100000,0.5381267000338994
merge,linked,half,100000,0.5245836999965832
quick,array,half,100000,0.5553567999741063
quick,linked,half,100000,0.4448995999991894
counting,array,flat,100000,0.013567799993325025
counting,linked,flat,100000,0.015905499982181937
shell,array,almost,100000,0.9578361000167206
shell,linked,almost,100000,0.8238174999714829
radix,array,half,100000,0.4505224000313319
radix,linked,half,100000,0.440993600001093
shell,array,flat,100000,0.4339060999918729
shell,linked,flat,100000,0.42591839999658987
radix,array,flat,100000,0.1984968000324443
radix,linked,flat,100000,0.16102980001596734
merge,array,flat,100000,0.6004871999612078
merge,linked,flat,100000,0.6249030000180937
shell,array,half,100000,1.1593325000139885
shell,linked,half,100000,1.2447755999746732
bubble,array,sorted,10000,6.781267799960915
bubble,linked,sorted,10000,7.070630499976687
counting,array,random,1000000,0.2083878999692388
counting,linked,random,1000000,0.23327549995156005
bubble,array,almost,10000,7.287102699978277
bubble,linked,almost,10000,7.720453499990981
bubble,array,half,10000,7.95412089995807
bubble,linked,half,10000,8.540906300011557
heap,array,sorted,1000000,0.9502444000099786
heap,linked,sorted,1000000,1.108112699992489
counting,array,sorted,1000000,0.6760648000054061
counting,linked,sorted,1000000,0.5852180999936536
heap,array,random,1000000,3.1851109000272118
heap,linked,random,1000000,2.7707491000182927
insertion,array,reverse,10000,10.209583899995778
insertion,linked,reverse,10000,11.085691999993287
bubble,array,flat,10000,10.232246300030965
bubble,linked,flat,10000,10.815213399997447
shell,array,sorted,1000000,4.192683500004932
shell,linked,sorted,1000000,3.8194705999922007
bubble,array,random,10000,10.968931400042493
bubble,linked,random,10000,11.237345700035803
heap,array,reverse,1000000,0.7037622000207193
heap,linked,reverse,1000000,0.7579506000038236
quick,array,sorted,1000000,4.560672999999952
quick,linked,sorted,1000000,4.05215959995985
counting,array,reverse,1000000,0.5663691000081599
counting,linked,reverse,1000000,0.5821259000222199
merge,array,sorted,1000000,5.0356557999621145
merge,linked,sorted,1000000,4.546420299971942
radix,array,sorted,1000000,4.363050199986901
radix,linked,sorted,1000000,4.137947599985637
radix,array,random,1000000,5.417673300020397
radix,linked,random,1000000,5.159853400022257
counting,array,almost,1000000,0.5770888999686576
counting,linked,almost,1000000,0.5786778000183403
quick,array,reverse,1000000,3.8535564000485465
quick,linked,reverse,1000000,3.9326486000209115
heap,array,almost,1000000,1.126526499981992
heap,linked,almost,1000000,1.1306960999500006
merge,array,reverse,1000000,4.47054340003524
merge,linked,reverse,1000000,4.628299900039565
counting,array,half,1000000,0.3683117000036873
counting,linked,half,1000000,0.3640665999846533
quick,array,random,1000000,7.56507369998144
quick,linked,random,1000000,7.587645899970084
shell,array,reverse,1000000,5.976813399989624
shell,linked,reverse,1000000,5.975368699990213
bubble,array,reverse,10000,15.23950429999968
bubble,linked,reverse,10000,14.960486199997831
merge,array,random,1000000,8.242454299994279
merge,linked,random,1000000,8.0477688999963
quick,array,almost,1000000,4.272236499993596
quick,linked,almost,1000000,4.238871500012465
heap,array,half,1000000,2.5677460999577306
heap,linked,half,1000000,2.369198200001847
radix,array,reverse,1000000,4.771300099964719
radix,linked,reverse,1000000,4.743790499982424
counting,array,flat,1000000,0.14628719998290762
counting,linked,flat,1000000,0.14642710000043735
quick,array,flat,1000000,0.6489915000274777
quick,linked,flat,1000000,0.6295737999607809
radix,array,almost,1000000,4.256976400036365
radix,linked,almost,1000000,4.1559564000344835
heap,array,flat,1000000,0.7158229000051506
heap,linked,flat,1000000,0.7508636999991722
radix,array,flat,1000000,1.158495599986054
radix,linked,flat,1000000,1.176795499981381
merge,array,almost,1000000,6.552408499992453
merge,linked,almost,1000000,6.564827000023797
radix,array,half,1000000,4.637921900022775
radix,linked,half,1000000,4.791197200014722
merge,array,half,1000000,6.103379999985918
merge,linked,half,1000000,6.50236969999969
shell,array,flat,1000000,5.07811760000186
shell,linked,flat,1000000,5.090505700034555
shell,array,almost,1000000,10.608129300002474
shell,linked,almost,1000000,11.164778000034858
merge,array,flat,1000000,6.885538599977735
merge,linked,flat,1000000,7.529661200009286
quick,array,half,1000000,10.101680499967188
quick,linked,half,1000000,14.395414799975697
shell,array,half,1000000,11.799522100016475
shell,linked,half,1000000,15.401662699994631
shell,array,random,1000000,21.05976610002108
shell,linked,random,1000000,26.51471290003974
counting,array,random,10000000,4.199133499991149
counting,linked,random,10000000,3.026813799981028
counting,array,sorted,10000000,10.405746800010093
counting,linked,sorted,10000000,7.0113307000137866
counting,array,reverse,10000000,6.01106129999971
counting,linked,reverse,10000000,5.904940499982331
heap,array,reverse,10000000,10.452771999989636
heap,linked,reverse,10000000,8.569304700009525
heap,array,sorted,10000000,17.906033499981277
heap,linked,sorted,10000000,12.145917300018482
counting,array,almost,10000000,6.328407099994365
counting,linked,almost,10000000,6.142879200051539
heap,array,almost,10000000,17.46510929998476
heap,linked,almost,10000000,15.893272799963597
quick,array,sorted,10000000,60.54253909998806
quick,linked,sorted,10000000,50.10610319999978
merge,array,sorted,10000000,70.2071407000185
merge,linked,sorted,10000000,51.77288370003225
quick,array,reverse,10000000,52.48542829998769
quick,linked,reverse,10000000,50.165471599961165
radix,array,sorted,10000000,56.677389200020116
radix,linked,sorted,10000000,53.29251529998146
merge,array,reverse,10000000,57.1068074000068
merge,linked,reverse,10000000,53.62924529996235
counting,array,half,10000000,4.012409699964337
counting,linked,half,10000000,4.147850900015328
radix,array,reverse,10000000,61.45813730004011
radix,linked,reverse,10000000,59.65779269998893
radix,array,random,10000000,63.78808719996596
radix,linked,random,10000000,61.45796450000489
heap,array,random,10000000,64.3608235999709
heap,linked,random,10000000,62.691979600000195
quick,array,almost,10000000,52.30649089999497
quick,linked,almost,10000000,52.64768669998739
quick,array,flat,10000000,7.196556100039743
quick,linked,flat,10000000,6.7324506000149995
heap,array,flat,10000000,8.112940799968783
heap,linked,flat,10000000,7.976551000028849
counting,array,flat,10000000,1.1267453000182286
counting,linked,flat,10000000,1.2299917999771424
radix,array,almost,10000000,54.38787869998487
radix,linked,almost,10000000,55.578401000006124
radix,array,flat,10000000,10.1091763000004
radix,linked,flat,10000000,9.465703299967572
heap,array,half,10000000,52.64416879997589
heap,linked,half,10000000,33.795774700003676
merge,array,almost,10000000,81.17086710000876
merge,linked,almost,10000000,73.81268869998166
merge,array,half,10000000,80.97437399998307
merge,linked,half,10000000,65.78048770001624
merge,array,random,10000000,109.86482329998398
merge,linked,random,10000000,91.38436070003081
quick,array,random,10000000,130.069266699953
quick,linked,random,10000000,89.67070509999758
radix,array,half,10000000,53.08771369996248
radix,linked,half,10000000,43.22647199995117
merge,array,flat,10000000,66.51867499999935
merge,linked,flat,10000000,56.16964850004297
quick,array,half,10000000,124.97663330001524
quick,linked,half,10000000,79.28406440000981
