algorithm,structure,dataset,size,time
merge,array,sorted,50,6.709998706355691e-05
merge,linked_list,sorted,50,5.900004180148244e-05
quick,array,sorted,50,4.499999340623617e-05
quick,linked_list,sorted,50,3.950000973418355e-05
heap,array,sorted,50,1.3899989426136017e-05
heap,linked_list,sorted,50,1.0999967344105244e-05
counting,array,sorted,50,1.4999997802078724e-05
counting,linked_list,sorted,50,3.779999678954482e-05
radix,array,sorted,50,3.539997851476073e-05
radix,linked_list,sorted,50,3.3699965570122004e-05
bubble,array,reverse,50,0.00017900002421811223
bubble,linked_list,reverse,50,0.0001702000154182315
selection,array,reverse,50,7.379997987300158e-05
selection,linked_list,reverse,50,7.35999783501029e-05
insertion,array,reverse,50,0.00013229995965957642
insertion,linked_list,reverse,50,0.00013180001405999064
shell,array,reverse,50,3.460003063082695e-05
shell,linked_list,reverse,50,3.3400021493434906e-05
merge,array,reverse,50,8.670001989230514e-05
merge,linked_list,reverse,50,6.280001252889633e-05
quick,array,reverse,50,4.279997665435076e-05
quick,linked_list,reverse,50,3.9599952287971973e-05
heap,array,reverse,50,1.090002479031682e-05
heap,linked_list,reverse,50,9.700015652924776e-06
counting,array,reverse,50,1.4699995517730713e-05
counting,linked_list,reverse,50,1.3399985618889332e-05
radix,array,reverse,50,3.409996861591935e-05
radix,linked_list,reverse,50,3.2599957194179296e-05
bubble,array,almost_sorted,50,8.639995940029621e-05
bubble,linked_list,almost_sorted,50,8.600001456215978e-05
selection,array,almost_sorted,50,6.920000305399299e-05
selection,linked_list,almost_sorted,50,6.839999696239829e-05
insertion,array,almost_sorted,50,1.3899989426136017e-05
insertion,linked_list,almost_sorted,50,1.3499986380338669e-05
shell,array,almost_sorted,50,3.2100011594593525e-05
shell,linked_list,almost_sorted,50,3.100000321865082e-05
merge,array,almost_sorted,50,6.819999543949962e-05
merge,linked_list,almost_sorted,50,6.389996269717813e-05
quick,array,almost_sorted,50,6.669998401775956e-05
quick,linked_list,almost_sorted,50,4.0899962186813354e-05
heap,array,almost_sorted,50,1.1699972674250603e-05
heap,linked_list,almost_sorted,50,9.599956683814526e-06
counting,array,almost_sorted,50,1.4499993994832039e-05
counting,linked_list,almost_sorted,50,1.3400043826550245e-05
radix,array,almost_sorted,50,3.4999975468963385e-05
radix,linked_list,almost_sorted,50,3.290001768618822e-05
bubble,array,half_sorted,50,0.00010980002116411924
bubble,linked_list,half_sorted,50,9.139999747276306e-05
selection,array,half_sorted,50,8.670001989230514e-05
selection,linked_list,half_sorted,50,7.020001066848636e-05
insertion,array,half_sorted,50,2.0499981474131346e-05
insertion,linked_list,half_sorted,50,1.9600032828748226e-05
shell,array,half_sorted,50,3.1400006264448166e-05
shell,linked_list,half_sorted,50,3.0199997127056122e-05
merge,array,half_sorted,50,7.250002818182111e-05
merge,linked_list,half_sorted,50,8.229998638853431e-05
quick,array,half_sorted,50,0.0001047999830916524
quick,linked_list,half_sorted,50,4.6600005589425564e-05
heap,array,half_sorted,50,1.4099990949034691e-05
heap,linked_list,half_sorted,50,1.1699972674250603e-05
